user, time, action, visualization
p12,0:00:00,pan,geo-0-1
p12,0:00:01,pan,geo-0-1
p12,0:00:02,pan,geo-0-1
p12,0:00:03,pan,geo-0-1
p12,0:00:04,pan,geo-0-1
p12,0:00:11,pan,geo-0-1
p12,0:00:12,pan,geo-0-1
p12,0:00:13,pan,geo-0-1
p12,0:00:14,pan,geo-0-1
p12,0:00:15,pan,geo-0-1
p12,0:00:16,pan,geo-0-1
p12,0:00:18,pan,geo-0-1
p12,0:00:20,pan,geo-0-1
p12,0:00:21,pan,geo-0-1
p12,0:00:23,pan,geo-0-1
p12,0:00:26,pan,geo-0-1
p12,0:00:30,pan,geo-0-1
p12,0:00:31,pan,geo-0-1
p12,0:00:32,pan,geo-0-1
p12,0:00:33,pan,geo-0-1
p12,0:00:34,pan,geo-0-1
p12,0:00:35,pan,geo-0-1
p12,0:00:39,pan,geo-0-1
p12,0:00:42,pan,geo-0-1
p12,0:00:44,pan,geo-0-1
p12,0:00:45,pan,geo-0-1
p12,0:00:46,pan,geo-0-1
p12,0:00:47,pan,geo-0-1
p12,0:00:48,pan,geo-0-1
p12,0:00:49,pan,geo-0-1
p12,0:00:50,pan,geo-0-1
p12,0:00:51,pan,geo-0-1
p12,0:00:52,pan,geo-0-1
p12,0:00:53,pan,geo-0-1
p12,0:00:54,brush,bar-5
p12,0:00:55,brush,bar-5
p12,0:00:56,brush,hist-4
p12,0:00:57,brush,hist-4
p12,0:00:58,brush,hist-4
p12,0:00:59,brush,hist-4
p12,0:01:00,brush,hist-4
p12,0:01:01,brush,hist-4
p12,0:01:03,brush,hist-4
p12,0:01:04,brush,hist-4
p12,0:01:05,brush,hist-4
p12,0:01:07,brush,hist-4
p12,0:01:08,brush,hist-4
p12,0:01:21,brush,hist-4
p12,0:01:22,brush,hist-4
p12,0:01:23,brush,hist-4
p12,0:01:24,brush,hist-4
p12,0:01:25,brush,hist-4
p12,0:01:26,brush,hist-4
p12,0:01:27,brush,hist-4
p12,0:01:28,brush,hist-4
p12,0:01:29,brush,hist-4
p12,0:01:30,brush,hist-4
p12,0:01:31,brush,hist-4
p12,0:01:32,brush,hist-4
p12,0:01:33,brush,hist-4
p12,0:01:34,brush,hist-4
p12,0:01:35,brush,hist-4
p12,0:01:36,brush,hist-4
p12,0:01:37,brush,hist-4
p12,0:01:38,brush,hist-4
p12,0:01:39,brush,hist-3
p12,0:01:40,brush,hist-3
p12,0:01:41,brush,hist-3
