user, time, action, visualization
p17,0:00:00,pan,geo-0-1
p17,0:00:11,brush,bar-5
p17,0:00:12,brush,bar-5
p17,0:00:40,brush,hist-3
p17,0:00:41,brush,hist-3
p17,0:00:42,brush,hist-2
p17,0:00:45,brush,hist-2
p17,0:01:04,brush,hist-2
p17,0:01:05,brush,hist-2
p17,0:01:06,brush,hist-2
p17,0:01:07,brush,hist-2
p17,0:01:08,brush,hist-2
p17,0:01:09,brush,hist-2
p17,0:01:10,brush,hist-3
p17,0:01:15,brush,hist-3
p17,0:01:30,brush,hist-4
p17,0:01:31,brush,hist-3
p17,0:01:32,brush,hist-3
p17,0:01:33,brush,hist-3
p17,0:01:34,brush,bar-5
p17,0:01:35,brush,bar-5
p17,0:01:36,brush,hist-3
p17,0:02:08,brush,hist-3
p17,0:02:10,brush,hist-3
p17,0:02:11,brush,hist-2
p17,0:02:13,brush,hist-2
p17,0:02:14,brush,hist-2
p17,0:02:16,brush,hist-2
p17,0:02:17,brush,hist-2
p17,0:02:18,range select,hist-2
p17,0:02:21,range select,hist-2
p17,0:02:22,range select,hist-2
p17,0:02:26,range select,hist-2
p17,0:02:28,range select,hist-2
p17,0:02:54,range select,hist-2
p17,0:02:56,range select,hist-2
p17,0:04:12,range select,hist-2
p17,0:04:15,range select,hist-2
p17,0:04:19,range select,bar-5
p17,0:04:49,pan,geo-0-1
p17,0:04:50,pan,geo-0-1
p17,0:04:51,pan,geo-0-1
p17,0:04:54,pan,geo-0-1
p17,0:04:55,pan,geo-0-1
p17,0:04:56,pan,geo-0-1
p17,0:04:57,pan,geo-0-1
p17,0:04:58,pan,geo-0-1
p17,0:04:59,pan,geo-0-1
p17,0:05:00,pan,geo-0-1
p17,0:05:01,pan,geo-0-1
p17,0:05:02,pan,geo-0-1
p17,0:05:03,pan,geo-0-1
p17,0:05:04,pan,geo-0-1
p17,0:05:05,pan,geo-0-1
p17,0:05:17,range select,geo-0-1
p17,0:05:18,range select,geo-0-1
p17,0:05:21,range select,bar-5
p17,0:05:24,pan,geo-0-1
p17,0:05:25,pan,geo-0-1
p17,0:05:26,zoom,geo-0-1
p17,0:05:53,pan,geo-0-1
p17,0:05:54,pan,geo-0-1
p17,0:07:32,pan,geo-0-1
p17,0:07:33,pan,geo-0-1
p17,0:07:34,pan,geo-0-1
p17,0:07:35,pan,geo-0-1
p17,0:07:36,pan,geo-0-1
p17,0:07:37,pan,geo-0-1
p17,0:07:38,pan,geo-0-1
p17,0:07:44,pan,geo-0-1
p17,0:07:45,pan,geo-0-1
p17,0:07:46,pan,geo-0-1
p17,0:07:48,pan,geo-0-1
p17,0:07:49,pan,geo-0-1
p17,0:07:57,pan,geo-0-1
p17,0:07:59,pan,geo-0-1
p17,0:08:00,pan,geo-0-1
p17,0:08:01,pan,geo-0-1
p17,0:08:02,pan,geo-0-1
p17,0:08:03,pan,geo-0-1
p17,0:08:08,pan,geo-0-1
p17,0:08:09,pan,geo-0-1
p17,0:08:12,pan,geo-0-1
p17,0:08:16,pan,geo-0-1
p17,0:08:17,pan,geo-0-1
p17,0:08:18,pan,geo-0-1
p17,0:08:19,pan,geo-0-1
p17,0:08:20,pan,geo-0-1
p17,0:08:21,pan,geo-0-1
p17,0:08:22,pan,geo-0-1
p17,0:08:23,pan,geo-0-1
p17,0:08:24,pan,geo-0-1
p17,0:08:25,pan,geo-0-1
p17,0:08:26,pan,geo-0-1
p17,0:08:27,pan,geo-0-1
p17,0:08:28,pan,geo-0-1
p17,0:08:29,pan,geo-0-1
p17,0:08:30,pan,geo-0-1
p17,0:08:31,pan,geo-0-1
p17,0:08:49,pan,geo-0-1
p17,0:08:50,pan,geo-0-1
p17,0:08:51,zoom,geo-0-1
p17,0:08:52,pan,geo-0-1
p17,0:08:54,pan,geo-0-1
p17,0:08:55,pan,geo-0-1
p17,0:08:57,pan,geo-0-1
p17,0:08:58,pan,geo-0-1
p17,0:08:59,pan,geo-0-1
p17,0:09:01,pan,geo-0-1
p17,0:09:06,pan,geo-0-1
p17,0:09:07,zoom,geo-0-1
p17,0:09:08,pan,geo-0-1
p17,0:09:09,pan,geo-0-1
p17,0:09:10,pan,geo-0-1
p17,0:09:13,pan,geo-0-1
p17,0:09:14,pan,geo-0-1
p17,0:09:15,pan,geo-0-1
p17,0:09:26,pan,geo-0-1
p17,0:09:27,pan,geo-0-1
p17,0:09:49,pan,geo-0-1
p17,0:09:50,pan,geo-0-1
p17,0:09:51,zoom,geo-0-1
p17,0:09:52,pan,geo-0-1
p17,0:09:53,pan,geo-0-1
p17,0:09:54,pan,geo-0-1
p17,0:09:55,pan,geo-0-1
p17,0:09:57,pan,geo-0-1
p17,0:10:01,range select,geo-0-1
p17,0:10:02,pan,geo-0-1
p17,0:10:04,range select,bar-5
p17,0:10:07,pan,geo-0-1
p17,0:10:08,zoom,geo-0-1
p17,0:10:09,pan,geo-0-1
p17,0:10:10,zoom,geo-0-1
