user, time, action, visualization
p11,0:00:00,brush,bar-4
p11,0:00:39,brush,bar-4
p11,0:01:06,brush,bar-4
p11,0:01:07,brush,bar-4
p11,0:01:08,brush,bar-4
p11,0:01:09,brush,bar-4
p11,0:01:10,brush,bar-4
p11,0:01:11,brush,bar-4
p11,0:01:13,brush,bar-4
p11,0:01:14,brush,bar-4
p11,0:01:15,brush,bar-4
p11,0:01:16,brush,bar-4
p11,0:01:17,brush,bar-4
p11,0:01:18,brush,bar-4
p11,0:01:19,brush,bar-4
p11,0:01:21,brush,bar-4
p11,0:01:23,brush,bar-4
p11,0:01:24,brush,bar-4
p11,0:01:25,brush,bar-4
p11,0:01:29,range select,scatterplot-0-1
p11,0:01:52,brush,hist-3
p11,0:01:53,brush,bar-2
p11,0:01:54,brush,bar-2
p11,0:01:55,brush,bar-2
p11,0:01:56,brush,bar-2
p11,0:01:57,brush,bar-2
p11,0:01:58,brush,bar-2
p11,0:01:59,brush,bar-2
p11,0:02:04,brush,bar-2
p11,0:02:05,brush,bar-2
p11,0:02:06,brush,bar-2
p11,0:02:07,brush,bar-2
p11,0:02:08,brush,bar-2
p11,0:02:09,brush,bar-2
p11,0:02:10,brush,bar-2
p11,0:02:11,brush,bar-2
p11,0:02:12,brush,bar-2
p11,0:02:13,brush,bar-2
p11,0:02:14,brush,bar-2
p11,0:02:15,brush,bar-2
p11,0:02:16,brush,bar-2
p11,0:02:17,brush,bar-2
p11,0:02:18,brush,bar-2
p11,0:02:19,brush,bar-2
p11,0:02:20,brush,bar-2
p11,0:02:21,brush,bar-2
p11,0:02:22,brush,bar-2
p11,0:02:23,brush,bar-2
p11,0:02:24,brush,bar-2
p11,0:02:25,brush,bar-2
p11,0:02:26,brush,bar-2
p11,0:02:27,brush,bar-2
p11,0:02:28,brush,bar-4
p11,0:02:30,brush,bar-4
p11,0:02:33,range select,scatterplot-0-1
p11,0:02:34,range select,scatterplot-0-1
p11,0:02:35,range select,scatterplot-0-1
p11,0:02:36,range select,scatterplot-0-1
p11,0:02:37,range select,scatterplot-0-1
p11,0:02:38,range select,scatterplot-0-1
p11,0:02:39,range select,scatterplot-0-1
p11,0:03:10,range select,bar-4
p11,0:03:11,range select,bar-4
p11,0:03:14,range select,bar-4
p11,0:03:20,range select,scatterplot-0-1
p11,0:03:21,range select,scatterplot-0-1
p11,0:03:30,range select,bar-4
p11,0:03:33,range select,bar-4
p11,0:03:40,range select,scatterplot-0-1
p11,0:03:44,range select,scatterplot-0-1
p11,0:03:45,range select,scatterplot-0-1
p11,0:03:48,range select,scatterplot-0-1
p11,0:03:49,range select,scatterplot-0-1
p11,0:04:02,range select,scatterplot-0-1
p11,0:04:03,range select,scatterplot-0-1
p11,0:04:27,brush,hist-3
p11,0:04:28,brush,hist-3
p11,0:04:29,brush,hist-3
p11,0:04:30,brush,bar-2
p11,0:04:35,brush,bar-4
p11,0:04:36,brush,hist-3
p11,0:04:37,brush,hist-3
p11,0:04:38,brush,hist-3
p11,0:04:39,brush,hist-3
p11,0:04:40,brush,hist-3
p11,0:04:41,brush,hist-3
p11,0:04:42,brush,hist-3
p11,0:04:43,brush,hist-3
p11,0:04:44,brush,hist-3
p11,0:04:45,brush,hist-3
p11,0:04:46,brush,hist-3
p11,0:04:47,brush,hist-3
p11,0:04:48,brush,hist-3
p11,0:04:49,brush,hist-3
p11,0:04:50,brush,hist-3
p11,0:04:53,brush,hist-3
p11,0:04:54,brush,hist-3
p11,0:04:55,brush,hist-3
p11,0:04:56,brush,hist-3
p11,0:04:58,pan,scatterplot-0-1
p11,0:04:59,pan,scatterplot-0-1
p11,0:05:00,pan,scatterplot-0-1
p11,0:05:01,zoom,scatterplot-0-1
p11,0:05:02,brush,hist-3
p11,0:05:03,brush,hist-3
p11,0:05:04,brush,hist-3
p11,0:05:05,brush,hist-3
p11,0:05:06,brush,hist-3
p11,0:05:07,pan,scatterplot-0-1
p11,0:05:08,pan,scatterplot-0-1
p11,0:05:09,pan,scatterplot-0-1
p11,0:05:10,brush,hist-3
p11,0:05:11,brush,hist-3
p11,0:05:12,brush,hist-3
p11,0:05:13,zoom,scatterplot-0-1
p11,0:05:14,pan,scatterplot-0-1
p11,0:05:15,pan,scatterplot-0-1
