time,action,visualization
0:22:42,pan,geo-0-1
0:22:43,pan,geo-0-1
0:22:44,pan,geo-0-1
0:22:45,pan,geo-0-1
0:22:46,pan,geo-0-1
0:22:47,pan,geo-0-1
0:22:48,pan,geo-0-1
0:22:49,pan,geo-0-1
0:24:23,pan,geo-0-1
0:24:24,pan,geo-0-1
0:24:26,pan,geo-0-1
0:24:27,zoom,geo-0-1
0:24:29,pan,geo-0-1
0:24:30,pan,geo-0-1
0:24:36,pan,geo-0-1
0:24:37,pan,geo-0-1
0:24:38,pan,geo-0-1
0:24:42,pan,geo-0-1
0:24:43,pan,geo-0-1
0:24:44,pan,geo-0-1
0:24:45,pan,geo-0-1
0:24:46,pan,geo-0-1
0:24:47,pan,geo-0-1
0:24:48,pan,geo-0-1
0:24:49,pan,geo-0-1
0:24:50,pan,geo-0-1
0:24:51,pan,geo-0-1
0:24:52,pan,geo-0-1
0:24:53,pan,geo-0-1
0:24:54,pan,geo-0-1
0:24:55,pan,geo-0-1
0:24:56,pan,geo-0-1
0:25:00,pan,geo-0-1
0:25:01,pan,geo-0-1
0:25:02,pan,geo-0-1
0:25:03,pan,geo-0-1
0:25:04,pan,geo-0-1
0:25:05,pan,geo-0-1
0:25:07,pan,geo-0-1
0:25:11,range select,geo-0-1
0:25:49,range select,geo-0-1
0:25:50,range select,geo-0-1
0:25:59,pan,geo-0-1
0:26:25,pan,geo-0-1
0:26:26,pan,geo-0-1
0:26:27,range select,geo-0-1
0:26:28,range select,geo-0-1
0:26:29,range select,geo-0-1
0:26:30,range select,geo-0-1
0:26:31,range select,geo-0-1
0:26:32,range select,geo-0-1
0:26:33,range select,geo-0-1
0:26:34,range select,geo-0-1
0:26:35,range select,geo-0-1
0:26:36,range select,geo-0-1
0:26:46,pan,geo-0-1
0:26:48,range select,geo-0-1
0:26:49,range select,geo-0-1
0:27:02,pan,geo-0-1
0:27:03,pan,geo-0-1
0:27:04,range select,geo-0-1
0:27:05,range select,geo-0-1
0:27:12,pan,geo-0-1
0:27:15,pan,geo-0-1
0:27:25,range select,geo-0-1
0:27:26,range select,geo-0-1
0:27:38,pan,geo-0-1
0:27:39,pan,geo-0-1
0:27:40,pan,geo-0-1
0:27:41,pan,geo-0-1
0:27:42,range select,geo-0-1
0:27:43,range select,geo-0-1
0:28:20,brush,hist-4
0:28:25,brush,hist-4
0:28:26,brush,hist-4
0:28:26,brush,hist-3
0:28:26,brush,hist-2
0:28:29,range select,geo-0-1
0:28:32,range select,geo-0-1
0:28:33,range select,geo-0-1
0:28:34,range select,geo-0-1
0:28:41,range select,geo-0-1
0:28:44,range select,geo-0-1
0:28:46,range select,geo-0-1
0:28:48,range select,geo-0-1
0:28:49,range select,geo-0-1
0:28:50,range select,geo-0-1
0:28:53,range select,geo-0-1
0:29:00,pan,geo-0-1
0:29:02,pan,geo-0-1
0:29:03,pan,geo-0-1
0:29:04,range select,geo-0-1
0:29:05,range select,geo-0-1
0:29:16,brush,hist-4
0:29:17,range select,geo-0-1
0:29:18,range select,geo-0-1
0:29:19,range select,geo-0-1
0:29:22,range select,geo-0-1
0:29:23,range select,geo-0-1
0:29:24,range select,geo-0-1
0:29:25,range select,geo-0-1
0:29:37,range select,geo-0-1
0:29:38,range select,geo-0-1
0:29:39,range select,geo-0-1
0:29:45,range select,geo-0-1
0:29:46,range select,geo-0-1
0:29:48,brush,bar-5
0:29:53,pan,geo-0-1
0:29:55,pan,geo-0-1
0:29:56,pan,geo-0-1
0:29:59,pan,geo-0-1
0:30:00,pan,geo-0-1
0:30:01,pan,geo-0-1
0:30:02,pan,geo-0-1
0:30:03,pan,geo-0-1
0:30:06,pan,geo-0-1
0:30:08,range select,geo-0-1
0:30:09,range select,geo-0-1
0:30:18,range select,geo-0-1
0:30:19,range select,geo-0-1
0:30:20,range select,geo-0-1
0:30:21,range select,geo-0-1
0:30:22,range select,geo-0-1
0:30:23,range select,geo-0-1
0:30:24,range select,geo-0-1
0:30:25,range select,geo-0-1
0:30:27,range select,geo-0-1
0:30:28,range select,geo-0-1
0:30:38,range select,geo-0-1
0:30:39,range select,geo-0-1
0:30:43,pan,geo-0-1
0:30:44,zoom,geo-0-1
0:30:45,pan,geo-0-1
0:30:46,pan,geo-0-1
0:30:48,pan,geo-0-1
0:30:51,range select,geo-0-1
0:30:52,range select,geo-0-1
0:30:55,range select,geo-0-1
0:30:58,pan,geo-0-1
0:30:59,pan,geo-0-1
0:31:00,pan,geo-0-1
0:31:01,pan,geo-0-1
0:31:02,pan,geo-0-1
0:31:03,pan,geo-0-1
0:31:05,pan,geo-0-1
0:31:06,pan,geo-0-1
0:31:08,pan,geo-0-1
0:31:11,range select,geo-0-1
0:31:12,range select,geo-0-1
0:31:14,range select,geo-0-1
0:31:34,pan,geo-0-1
0:31:35,pan,geo-0-1
0:31:36,pan,geo-0-1
0:31:37,pan,geo-0-1
0:31:38,pan,geo-0-1
0:31:40,pan,geo-0-1
0:31:41,pan,geo-0-1
0:31:42,pan,geo-0-1
0:31:43,pan,geo-0-1
0:31:44,pan,geo-0-1
0:31:45,pan,geo-0-1
0:31:46,pan,geo-0-1
0:31:47,pan,geo-0-1
0:31:48,pan,geo-0-1
0:31:49,pan,geo-0-1
0:31:50,pan,geo-0-1
0:31:51,pan,geo-0-1
0:31:56,range select,geo-0-1
0:31:57,range select,geo-0-1
0:31:58,range select,geo-0-1
0:31:59,range select,geo-0-1
0:32:15,brush,hist-4
0:32:21,pan,geo-0-1
0:32:22,pan,geo-0-1
0:32:25,range select,geo-0-1
0:32:27,range select,geo-0-1
0:32:29,range select,geo-0-1
0:32:32,range select,geo-0-1
0:32:33,range select,geo-0-1
0:32:34,range select,geo-0-1
0:32:35,range select,geo-0-1
0:32:36,range select,geo-0-1
0:32:37,range select,geo-0-1
0:32:38,range select,geo-0-1
0:32:39,range select,geo-0-1
0:32:40,range select,geo-0-1
0:32:41,range select,geo-0-1
0:32:49,pan,geo-0-1
0:32:50,pan,geo-0-1
0:32:51,pan,geo-0-1
0:32:52,pan,geo-0-1
0:32:53,zoom,geo-0-1
0:32:55,range select,geo-0-1
0:32:58,range select,geo-0-1
0:33:04,range select,geo-0-1
0:33:05,range select,geo-0-1
0:33:10,range select,geo-0-1
0:33:11,range select,geo-0-1
0:33:12,range select,geo-0-1
0:33:13,range select,geo-0-1
0:33:14,range select,geo-0-1
0:33:15,range select,geo-0-1
0:33:17,range select,geo-0-1
0:33:18,range select,geo-0-1
0:33:22,pan,geo-0-1
0:33:25,pan,geo-0-1
0:33:26,pan,geo-0-1
0:33:29,pan,geo-0-1
0:33:30,pan,geo-0-1
0:33:31,pan,geo-0-1
0:33:35,range select,bar-5
0:33:36,range select,bar-5
0:33:37,range select,bar-5
0:33:39,pan,geo-0-1
0:33:40,pan,geo-0-1
0:33:41,pan,geo-0-1
0:33:42,pan,geo-0-1
0:33:44,range select,bar-5
0:33:47,pan,geo-0-1
0:33:48,pan,geo-0-1
0:33:49,pan,geo-0-1
0:33:51,pan,geo-0-1
0:33:52,pan,geo-0-1
0:33:53,range select,geo-0-1
0:33:54,range select,geo-0-1
0:33:56,brush,bar-5
0:33:57,brush,bar-5
0:34:02,range select,bar-5
0:34:04,range select,bar-5
0:34:05,range select,bar-5
0:34:06,range select,bar-5
0:34:07,range select,bar-5
0:34:08,range select,bar-5
0:34:11,pan,geo-0-1
0:34:13,range select,bar-5
0:34:14,range select,bar-5
0:34:15,range select,bar-5
0:34:19,range select,hist-2
0:34:24,brush,hist-2
0:34:25,brush,hist-2
0:34:26,brush,hist-2
0:34:27,brush,hist-2
0:34:28,brush,hist-2
0:34:29,brush,hist-2
0:34:30,brush,hist-2
0:34:31,brush,hist-2
0:34:32,brush,hist-2
0:34:33,brush,hist-2
0:34:34,brush,hist-2
0:34:35,brush,hist-2
0:34:37,brush,hist-2
0:34:38,brush,hist-2
0:34:39,brush,hist-2
0:34:40,brush,hist-2
0:34:41,brush,hist-2
0:34:42,brush,hist-2
0:34:43,brush,hist-2
0:34:45,range select,hist-2
0:34:46,pan,geo-0-1
0:34:47,pan,geo-0-1
0:34:48,pan,geo-0-1
0:34:49,pan,geo-0-1
0:34:50,zoom,geo-0-1
0:34:51,pan,geo-0-1
0:34:52,pan,geo-0-1
0:35:00,pan,geo-0-1
0:35:02,pan,geo-0-1
0:35:03,pan,geo-0-1
0:35:05,pan,geo-0-1
