[0, 0, 'brush', 'bar-5', 'observation', 0]
[1, 1, 'range select', 'bar-5', 'observation', 0]
[2, 15, 'range select', 'bar-5', 'observation', 1]
[3, 17, 'range select', 'bar-5', 'observation', 1]
[4, 32, 'pan', 'geo-0-1', 'observation', 0]
[5, 33, 'pan', 'geo-0-1', 'observation', 1]
[6, 49, 'pan', 'geo-0-1', 'observation', 0]
[7, 50, 'pan', 'geo-0-1', 'observation', 0]
[8, 51, 'pan', 'geo-0-1', 'observation', 0]
[9, 53, 'brush', 'bar-5', 'observation', 0]
[10, 54, 'brush', 'bar-5', 'observation', 0]
[11, 57, 'pan', 'geo-0-1', 'observation', 0]
[12, 58, 'pan', 'geo-0-1', 'observation', 0]
[13, 59, 'pan', 'geo-0-1', 'observation', 0]
[14, 60, 'pan', 'geo-0-1', 'observation', 0]
[15, 61, 'pan', 'geo-0-1', 'observation', 0]
[16, 62, 'pan', 'geo-0-1', 'observation', 1]
[17, 64, 'pan', 'geo-0-1', 'hypothesis', 0]
[18, 65, 'pan', 'geo-0-1', 'hypothesis', 0]
[19, 66, 'pan', 'geo-0-1', 'hypothesis', 0]
[20, 67, 'pan', 'geo-0-1', 'hypothesis', 0]
[21, 68, 'pan', 'geo-0-1', 'hypothesis', 0]
[22, 70, 'pan', 'geo-0-1', 'hypothesis', 0]
[23, 71, 'pan', 'geo-0-1', 'hypothesis', 0]
[24, 72, 'pan', 'geo-0-1', 'hypothesis', 0]
[25, 73, 'pan', 'geo-0-1', 'hypothesis', 0]
[26, 74, 'pan', 'geo-0-1', 'hypothesis', 0]
[27, 75, 'pan', 'geo-0-1', 'hypothesis', 0]
[28, 76, 'pan', 'geo-0-1', 'hypothesis', 0]
[29, 80, 'pan', 'geo-0-1', 'hypothesis', 0]
[30, 81, 'pan', 'geo-0-1', 'hypothesis', 0]
[31, 82, 'pan', 'geo-0-1', 'hypothesis', 1]
[32, 89, 'range select', 'bar-5', 'hypothesis', 0]
[33, 91, 'range select', 'bar-5', 'hypothesis', 0]
[34, 93, 'range select', 'bar-5', 'hypothesis', 0]
[35, 98, 'range select', 'bar-5', 'hypothesis', 0]
[36, 107, 'range select', 'bar-5', 'hypothesis', 0]
[37, 111, 'range select', 'bar-5', 'hypothesis', 0]
[38, 112, 'pan', 'geo-0-1', 'hypothesis', 0]
[39, 113, 'pan', 'geo-0-1', 'hypothesis', 1]
[40, 116, 'pan', 'geo-0-1', 'observation', 1]
[41, 117, 'pan', 'geo-0-1', 'observation', 0]
[42, 118, 'pan', 'geo-0-1', 'observation', 0]
[43, 119, 'pan', 'geo-0-1', 'observation', 0]
[44, 120, 'pan', 'geo-0-1', 'observation', 0]
[45, 121, 'pan', 'geo-0-1', 'observation', 0]
[46, 122, 'pan', 'geo-0-1', 'observation', 0]
[47, 123, 'pan', 'geo-0-1', 'observation', 1]
[48, 134, 'pan', 'geo-0-1', 'observation', 1]
[49, 136, 'pan', 'geo-0-1', 'observation', 0]
[50, 137, 'pan', 'geo-0-1', 'observation', 0]
[51, 138, 'pan', 'geo-0-1', 'observation', 1]
[52, 140, 'range select', 'bar-5', 'observation', 0]
[53, 145, 'range select', 'bar-5', 'observation', 0]
[54, 146, 'range select', 'bar-5', 'observation', 0]
[55, 147, 'range select', 'bar-5', 'observation', 1]
[56, 148, 'range select', 'bar-5', 'observation', 1]
[57, 150, 'range select', 'bar-5', 'observation', 0]
[58, 151, 'range select', 'bar-5', 'observation', 1]
[59, 164, 'range select', 'bar-5', 'question', 0]
[60, 167, 'range select', 'bar-5', 'question', 0]
[61, 169, 'range select', 'bar-5', 'question', 0]
[62, 175, 'pan', 'geo-0-1', 'question', 0]
[63, 176, 'pan', 'geo-0-1', 'question', 0]
[64, 177, 'pan', 'geo-0-1', 'question', 1]
[65, 178, 'pan', 'geo-0-1', 'observation', 0]
[66, 179, 'pan', 'geo-0-1', 'observation', 0]
[67, 182, 'range select', 'bar-5', 'observation', 1]
[68, 195, 'range select', 'bar-5', 'observation', 0]
[69, 196, 'range select', 'bar-5', 'observation', 0]
[70, 200, 'range select', 'bar-5', 'observation', 0]
[71, 201, 'range select', 'bar-5', 'observation', 0]
[72, 202, 'range select', 'bar-5', 'observation', 0]
[73, 205, 'range select', 'bar-5', 'observation', 1]
[74, 207, 'range select', 'bar-5', 'observation', 0]
[75, 209, 'brush', 'bar-5', 'observation', 0]
[76, 211, 'range select', 'bar-5', 'observation', 1]
[77, 222, 'brush', 'bar-5', 'observation', 0]
[78, 223, 'brush', 'bar-5', 'observation', 0]
[79, 224, 'brush', 'bar-5', 'observation', 0]
[80, 225, 'brush', 'bar-5', 'observation', 0]
[81, 236, 'range select', 'bar-5', 'observation', 1]
[82, 248, 'range select', 'bar-5', 'observation', 0]
[83, 251, 'range select', 'bar-5', 'observation', 1]
[84, 257, 'range select', 'bar-5', 'observation', 1]
[85, 265, 'range select', 'bar-5', 'observation', 0]
[86, 267, 'range select', 'bar-5', 'observation', 1]
[87, 283, 'pan', 'geo-0-1', 'observation', 0]
[88, 284, 'pan', 'geo-0-1', 'observation', 0]
[89, 285, 'pan', 'geo-0-1', 'observation', 0]
[90, 286, 'pan', 'geo-0-1', 'observation', 0]
[91, 287, 'pan', 'geo-0-1', 'observation', 0]
[92, 289, 'pan', 'geo-0-1', 'observation', 0]
[93, 290, 'pan', 'geo-0-1', 'observation', 0]
[94, 291, 'pan', 'geo-0-1', 'observation', 0]
[95, 292, 'pan', 'geo-0-1', 'observation', 0]
[96, 293, 'pan', 'geo-0-1', 'observation', 0]
[97, 294, 'pan', 'geo-0-1', 'observation', 0]
[98, 295, 'pan', 'geo-0-1', 'observation', 1]
[99, 298, 'pan', 'geo-0-1', 'observation', 0]
[100, 299, 'pan', 'geo-0-1', 'observation', 1]
[101, 300, 'pan', 'geo-0-1', 'observation', 0]
[102, 301, 'pan', 'geo-0-1', 'observation', 0]
[103, 302, 'pan', 'geo-0-1', 'observation', 0]
[104, 303, 'pan', 'geo-0-1', 'observation', 1]
[105, 304, 'pan', 'geo-0-1', 'observation', 0]
[106, 306, 'pan', 'geo-0-1', 'observation', 0]
[107, 307, 'pan', 'geo-0-1', 'observation', 0]
[108, 308, 'pan', 'geo-0-1', 'observation', 0]
[109, 309, 'pan', 'geo-0-1', 'observation', 0]
[110, 311, 'pan', 'geo-0-1', 'observation', 0]
[111, 312, 'pan', 'geo-0-1', 'observation', 0]
[112, 313, 'pan', 'geo-0-1', 'observation', 1]
[113, 314, 'pan', 'geo-0-1', 'observation', 0]
[114, 315, 'zoom', 'geo-0-1', 'observation', 0]
[115, 316, 'pan', 'geo-0-1', 'observation', 0]
[116, 317, 'zoom', 'geo-0-1', 'observation', 0]
[117, 320, 'pan', 'geo-0-1', 'observation', 1]
[118, 329, 'pan', 'geo-0-1', 'observation', 0]
[119, 331, 'pan', 'geo-0-1', 'observation', 0]
[120, 332, 'pan', 'geo-0-1', 'observation', 0]
[121, 335, 'pan', 'geo-0-1', 'observation', 0]
[122, 336, 'zoom', 'geo-0-1', 'observation', 0]
[123, 339, 'pan', 'geo-0-1', 'observation', 1]
[124, 341, 'pan', 'geo-0-1', 'observation', 0]
[125, 342, 'pan', 'geo-0-1', 'observation', 1]
[126, 346, 'pan', 'geo-0-1', 'observation', 0]
[127, 347, 'pan', 'geo-0-1', 'observation', 0]
[128, 348, 'zoom', 'geo-0-1', 'observation', 0]
[129, 349, 'pan', 'geo-0-1', 'observation', 0]
[130, 351, 'pan', 'geo-0-1', 'observation', 1]
[131, 352, 'pan', 'geo-0-1', 'question', 0]
[132, 355, 'pan', 'geo-0-1', 'question', 0]
[133, 356, 'pan', 'geo-0-1', 'question', 0]
[134, 358, 'pan', 'geo-0-1', 'question', 0]
[135, 359, 'pan', 'geo-0-1', 'question', 0]
[136, 361, 'pan', 'geo-0-1', 'question', 0]
[137, 363, 'pan', 'geo-0-1', 'question', 1]
[138, 364, 'pan', 'geo-0-1', 'observation', 1]
[139, 368, 'pan', 'geo-0-1', 'hypothesis', 1]
[140, 378, 'pan', 'geo-0-1', 'observation', 1]
[141, 379, 'pan', 'geo-0-1', 'observation', 1]
[142, 385, 'pan', 'geo-0-1', 'observation', 0]
[143, 387, 'pan', 'geo-0-1', 'observation', 0]
[144, 388, 'zoom', 'geo-0-1', 'observation', 0]
[145, 390, 'pan', 'geo-0-1', 'observation', 1]
[146, 395, 'brush', 'bar-5', 'hypothesis', 1]
[147, 396, 'range select', 'bar-5', 'observation', 0]
[148, 397, 'range select', 'bar-5', 'observation', 0]
[149, 398, 'range select', 'bar-5', 'observation', 0]
[150, 400, 'pan', 'geo-0-1', 'observation', 0]
[151, 401, 'pan', 'geo-0-1', 'observation', 0]
[152, 402, 'pan', 'geo-0-1', 'observation', 0]
[153, 403, 'pan', 'geo-0-1', 'observation', 0]
[154, 404, 'pan', 'geo-0-1', 'observation', 0]
[155, 405, 'zoom', 'geo-0-1', 'observation', 0]
[156, 407, 'pan', 'geo-0-1', 'observation', 0]
[157, 408, 'pan', 'geo-0-1', 'observation', 0]
[158, 409, 'pan', 'geo-0-1', 'observation', 1]
[159, 433, 'pan', 'geo-0-1', 'generalization', 1]
[160, 444, 'pan', 'geo-0-1', 'observation', 0]
[161, 455, 'pan', 'geo-0-1', 'observation', 0]
[162, 457, 'brush', 'bar-5', 'observation', 0]
[163, 458, 'brush', 'bar-5', 'observation', 1]
[164, 464, 'pan', 'geo-0-1', 'observation', 1]
[165, 469, 'pan', 'geo-0-1', 'observation', 0]
[166, 470, 'pan', 'geo-0-1', 'observation', 0]
[167, 476, 'pan', 'geo-0-1', 'observation', 0]
[168, 482, 'pan', 'geo-0-1', 'observation', 0]
[169, 483, 'pan', 'geo-0-1', 'observation', 0]
[170, 485, 'pan', 'geo-0-1', 'observation', 0]
[171, 486, 'pan', 'geo-0-1', 'observation', 0]
[172, 487, 'pan', 'geo-0-1', 'observation', 0]
[173, 488, 'pan', 'geo-0-1', 'observation', 0]
[174, 489, 'range select', 'bar-5', 'observation', 0]
[175, 490, 'range select', 'bar-5', 'observation', 0]
[176, 491, 'range select', 'bar-5', 'observation', 0]
[177, 492, 'range select', 'bar-5', 'observation', 0]
[178, 493, 'range select', 'bar-5', 'observation', 0]
[179, 494, 'range select', 'bar-5', 'observation', 0]
[180, 496, 'pan', 'geo-0-1', 'observation', 1]
[181, 497, 'pan', 'geo-0-1', 'observation', 1]
[182, 504, 'pan', 'geo-0-1', 'observation', 0]
[183, 506, 'pan', 'geo-0-1', 'observation', 1]
[184, 511, 'range select', 'bar-5', 'generalization', 0]
[185, 513, 'brush', 'hist-2', 'generalization', 0]
[186, 515, 'range select', 'hist-2', 'generalization', 0]
[187, 516, 'brush', 'hist-2', 'generalization', 0]
[188, 517, 'range select', 'hist-2', 'generalization', 0]
[189, 518, 'pan', 'geo-0-1', 'generalization', 0]
[190, 519, 'pan', 'geo-0-1', 'generalization', 0]
[191, 520, 'pan', 'geo-0-1', 'generalization', 1]
[192, 524, 'range select', 'hist-2', 'generalization', 1]
[193, 525, 'range select', 'hist-2', 'generalization', 0]
[194, 527, 'range select', 'hist-2', 'generalization', 0]
[195, 528, 'range select', 'hist-2', 'generalization', 0]
[196, 530, 'range select', 'hist-2', 'generalization', 0]
[197, 532, 'range select', 'hist-2', 'generalization', 1]
[198, 534, 'brush', 'hist-2', 'observation', 0]
[199, 538, 'range select', 'hist-2', 'observation', 0]
[200, 539, 'range select', 'hist-2', 'observation', 0]
[201, 540, 'range select', 'hist-2', 'observation', 1]
[202, 544, 'range select', 'hist-2', 'observation', 0]
[203, 546, 'range select', 'hist-2', 'observation', 0]
[204, 548, 'range select', 'hist-2', 'observation', 0]
[205, 551, 'range select', 'hist-2', 'observation', 1]
[206, 553, 'range select', 'hist-2', 'hypothesis', 0]
[207, 554, 'range select', 'hist-2', 'hypothesis', 0]
[208, 555, 'range select', 'hist-2', 'hypothesis', 0]
[209, 556, 'range select', 'hist-2', 'hypothesis', 0]
[210, 557, 'range select', 'hist-2', 'hypothesis', 0]
[211, 558, 'range select', 'hist-2', 'hypothesis', 0]
[212, 559, 'range select', 'hist-2', 'hypothesis', 0]
[213, 560, 'range select', 'hist-2', 'hypothesis', 0]
[214, 561, 'range select', 'hist-2', 'hypothesis', 0]
[215, 562, 'range select', 'hist-2', 'hypothesis', 0]
[216, 563, 'range select', 'hist-2', 'hypothesis', 0]
[217, 564, 'range select', 'hist-2', 'hypothesis', 0]
[218, 565, 'range select', 'hist-2', 'hypothesis', 0]
[219, 566, 'range select', 'hist-2', 'hypothesis', 0]
[220, 567, 'range select', 'hist-2', 'hypothesis', 0]
[221, 568, 'range select', 'hist-2', 'hypothesis', 0]
[222, 569, 'range select', 'hist-2', 'hypothesis', 0]
